id,collection,dc.contributor.author,dc.date.issued,dc.description.abstract,dc.identifier.citation,dc.identifier.uri,dc.language.iso,dc.title,dc.type
+,123456789/7,A. Karadimce||F. Skender||J. Ilovski,2025-09-13,"Artificial    Intelligence    (AI)    can    dramatically redefine   the   parameters   of   human   rights.   With   the appropriate  application  of  AI,  specifically  through  the usage   of   large   language   models,   we   can   automate systems  that  help  individuals  protect  and  advocate  for their  digital  rights.  These  assistants  can  help  with  the legal aspect and privacy  issues as well as reporting any human  rights  violation.  However,  such  developments also  raise  some  other  issues  that  have  to  be  resolved  in the first place, such as the bias and equity in the data, the credibility  of  the  information,  and  the  privacy  of  data. These   challenges   have   to   be   carefully   taken   into consideration.  The  goal  of  this  research  is  to  contribute to the understanding of the role of AI in the human rights advocacy.  Developing  and  creating  AI  agents  that  are purpose-built  and  trained  on  a  customized  dataset  of human  rights  will  assist  in  providing  more  efficient assistance to individuals. By combining AI with human expertise,  we  can  create  a  powerful  tool  for  advancing human rights in the digital age.","Vision – International Refereed Scientific Journal, 10(2), 9-28. ISSN: 2545-4323. EBSCO indexed",https://visionjournal.edu.mk/social/index.php/1/article/view/218/202||http://repository.uist.edu.mk/handle/123456789/240,en,Human Rights AI Assistants: Empowering Global Citizens in the Digital Age,Article
+,123456789/7,L. Miloshevska||E. Gajek||N. Delibegovic Dzanic||C. Hatipoglu,2025-12-31,"This publication titled 'Emergency online learning during the first Covid-19 period: students' perspectives' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","ExELL (Explorations in English Language and Linguistics), 8(2), 110-143. Scopus",https://doi.org/10.2478/exell-2021-0002||http://repository.uist.edu.mk/handle/123456789/243,en,Emergency online learning during the first Covid-19 period: students' perspectives,Article
+,123456789/8,M. Punceva||N. Marina,2026-12-31,"This publication titled 'Information Theory for Medical Data Fusion' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Industry 4.0, 11(2), 46-50. Scientific Technical Union of Mechanical Engineering 'Industry 4.0', Sofia, Bulgaria (EU). International editorial board with members from 40+ countries. ISSN: 2534-8582 (print), 2534-997X (online)",https://stumejournals.com/journals/i4/2026/2/46||http://repository.uist.edu.mk/handle/123456789/126,en,Information Theory for Medical Data Fusion,Article
+,123456789/14,E. Hadzieva,2021-12-31,,"Numerus, 47-2, pp. 6-13. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/105,en,Counting lines and 2D figures – part 1 (in Macedonian),Article
+,123456789/14,V. Angjelkoska||E. Hadzieva,2022-12-31,,"Numerus, 47-1, pp. 7-9. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/106,en,"Fill in words, fill in numbers",Article
+,123456789/13,B. Chauleva||A. Hristov||U. R. Shikoska||Lj. G. Sandjakoska,2021-12-31,"This publication titled 'Secondary Structure Prediction of RNA using Convolutional Neural Networks' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","International Journal of Student Project Reporting (IJSPR), 1(1). Inderscience, Geneva, Switzerland (OECD member state)",https://www.inderscience.com/storage/f101113498127256.pdf||http://repository.uist.edu.mk/handle/123456789/70,en,Secondary Structure Prediction of RNA using Convolutional Neural Networks,Article
+,123456789/14,Lj. Topuzoska||M. Ismajloska,2026-12-31,"This publication titled 'Universal ethics, culture, ethical education and global processes (in Macedonian)' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Kontekst/Context. Institute of Macedonian Literature, Skopje",https://iml.edu.mk/context/||http://repository.uist.edu.mk/handle/123456789/113,en,"Universal ethics, culture, ethical education and global processes (in Macedonian)",Article
+,123456789/14,O. Simonoski||D. Capeska Bogatinoska,2024-10-01,"This research explores the integration of blockchain technology in healthcare, focusing on enhancing the 
security and efficiency of Electronic Health Record (EHR) management. We propose a novel Ethereum
based system that empowers patients with secure control over their medical data. Our approach addresses 
key challenges in healthcare blockchain implementation, including scalability, privacy, and regulatory 
compliance. The system incorporates digital signatures, Role-Based Access Control, and a multi-layered 
architecture to ensure secure, controlled access. We developed a decentralized application (dApp) with 
user-friendly interfaces for patients, doctors, and administrators, demonstrating the practical application 
of our solution. A survey among healthcare professionals and IT experts revealed strong interest in 
blockchain adoption, while also highlighting concerns about integration costs. The study explores future 
enhancements, including integration with IoT devices and AI-driven analytics, contributing to the evolution 
of secure, efficient, and interoperable healthcare systems that leverage cutting-edge technologies for 
improved patient care.","International Journal of Network Security & Its Applications (IJNSA), 16(6)",https://doi.org/10.5121/ijnsa.2024.16604,en,BlockMedCare: Advancing healthcare through blockchain integration with AI and IoT,Article
+,123456789/14,Z. Misajleski||A. Velkoska||B. Durmishi,2024-12-31,"This publication titled 'Chain Separatedness In A Family Coverings Space' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Matematichki Bilten, 2024. Union of Mathematicians of Macedonia, Skopje",https://im-pmf.weebly.com/uploads/5/8/9/8/58988609/mat-bilten-misajleski-at-al-2023-47-no2.pdf||http://repository.uist.edu.mk/handle/123456789/122,en,Chain Separatedness In A Family Coverings Space,Article
+,123456789/7,B. Adjiovski||D. Bogatinoska||M. Ismajloska||R. Malekian,2024-07-19,"Learning disabilities present formidable obstacles for children in their educational journeys, often overlooked or misunderstood. This research aims to address two critical issues: the differentiation between learning and intellectual disabilities, and the resistance of teachers to integrating technology into education. In response, a comprehensive approach was adopted. Firstly, a mobile application was developed to screen for potential learning disabilities, offering teachers insights into individual student challenges and personalized lecture adaptations. Secondly, a quasi-experimental pretest–posttest study was conducted, comparing student performance following traditional and technologically supported lectures. Results from the study revealed significant score improvements among students identified as potentially having learning disabilities when exposed to technologically supported lectures. Conversely, students not identified as potential cases remained within the normal range of performance. These findings underscore the potential of technology to enhance educational outcomes for children with learning disabilities while highlighting the importance of recognizing and addressing these challenges in educational settings. By bridging the gap between identification and intervention, this research contributes to a more inclusive and effective educational environment.","SN Computer Science, vol. 2024, no. 5. Scopus CiteScore 2024: 2.383",https://doi.org/10.1007/s42979-024-03049-z,en,Enhancing Educational Technology in Lectures for School Students with Learning Disabilities: A Comprehensive Analysis,Article
+,123456789/14,E. Hadzieva,2023-12-31,,"Numerus, 49-1, pp. 1-6. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/101,en,Binary number system and binary coding,Article
+,123456789/6,L. Miloshevska,2025-12-31,"This publication titled 'Extraction of anglicisms from a corpus of Macedonian magazine texts' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","English Studies at New Bulgarian University (English Studies at NBU), 11(1), 141-159. WoS",https://doi.org/10.33919/esnbu.25.1.8||http://repository.uist.edu.mk/handle/123456789/84,en,Extraction of anglicisms from a corpus of Macedonian magazine texts,Article
+,123456789/14,O. Simonoski||D. Capeska Bogatinoska,2024-10-01,"In an era driven by information exchange, transparency and security hold crucial 
importance, particularly within the healthcare industry, where data integrity and 
confidentiality are paramount. This paper investigates the integration of blockchain 
technology in healthcare, focusing on its potential to revolutionize Electronic Health 
Records (EHR) management and data sharing. By leveraging Ethereum-based blockchain 
implementations and smart contracts, we propose a novel system that empowers patients to 
securely store and manage their medical data. Our research addresses critical challenges 
in implementing blockchain in healthcare, including scalability, user privacy, and 
regulatory compliance. We propose a solution that combines digital signatures, Role-Based 
Access Control, and a multi-layered architecture to enhance security and ensure controlled 
access. The system's key functions, including user registration, data append, and data 
retrieval, are facilitated through smart contracts, providing a secure and efficient 
mechanism for managing health information. To validate our approach, we developed a 
decentralized application (dApp) that demonstrates the practical implementation of our 
blockchain-based healthcare solution. The dApp incorporates user-friendly interfaces for 
patients, doctors, and administrators, showcasing the system's potential to streamline 
healthcare processes while maintaining data security and integrity. Additionally, we 
conducted a survey to gain insights into the perceived benefits and challenges of blockchain 
adoption in healthcare. The results indicate strong interest among healthcare professionals 
and IT experts, while also highlighting concerns about integration costs and technological 
complexity. Our findings underscore the transformative potential of blockchain technology 
in healthcare, pointing towards a new era of patient-centric and secure healthcare services. 
By addressing current limitations and exploring future enhancements, such as integration 
with IoT devices and AI-driven analytics, this research contributes to the ongoing evolution 
of secure, efficient, and interoperable healthcare systems.","International Journal on Cybernetics & Informatics (IJCI), 13(5)",https://doi.org/10.5121/ijci.2024.130505,en,Block MedCare: Advancing healthcare through blockchain integration,Article
+,123456789/13,S. Rajesh||A. Erceg||P. Sharmila||T. D. Juwaheer||J. Damoska Sekuloska,2026-12-31,"This publication titled 'The Gig Economy and Employment Creation in the Digital Era: Exploring the Opportunities and Facilitating Conditions for Policy Consideration' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of Sustainable Development, Culture and Traditions, Volume 3-A. Harokopio University of Athens, Greece (EU member state)",https://doi.org/10.26341/issn.2241-4010-2026-3a-4-L02192||http://repository.uist.edu.mk/handle/123456789/69,en,The Gig Economy and Employment Creation in the Digital Era: Exploring the Opportunities and Facilitating Conditions for Policy Consideration,Article
+,123456789/14,J. Karamachoski||L. Gavrilovska,2022-06-29,"The increased number of Internet services and the exposure of the personal information to the public network, create a problem with the privacy of the personal data. This problem is extremely impactful in the healthcare systems where the sensitive medical data circulate in the network. The emerging Blockchain technologies offer properties and tools for better personal data access management. The integration of the Blockchain technologies into the healthcare systems can provide better data privacy. However, beside the attractive properties, the current Blockchain technologies cannot achieve sufficient scalability to serve a global public healthcare system and cannot provide compatibility with the GDPR and HIPAA regulations. To overcome these limitations, this paper introduces new deducted Blockchain-based public healthcare system, the BloHeS, with main focus on several functional entities, such as optimal consensus mechanism, better storage organization, improved network organization and compatibility with GDPR and HIPAA regulations. It also defines a procedure for patient-centric data access management, protocols for Island management and new block structure.","Journal of Electrical Engineering and Information Technologies (JEEIT), 7(1). Faculty of Electrical Engineering and Information Technologies, UKIM, Skopje",https://doi.org/10.51466/JEEIT2271194033k||http://repository.uist.edu.mk/handle/123456789/119,en,Design of the Functional Entities of the BloHeS System,Article
+,123456789/6,S. K. Jha||N. Marina||J. Wang||Z. Ahmad,2022-12-31,"This publication titled 'A Hybrid Machine Learning Approach of Fuzzy-rough-k-nearest Neighbor, Latent Semantic Analysis, and Ranker Search for Efficient Disease Diagnosis' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of Intelligent and Fuzzy Systems, 42(3), 2549-2563. IOS Press. WoS, JIF: 1.739",https://doi.org/10.3233/JIFS-211820||http://repository.uist.edu.mk/handle/123456789/88,en,"A Hybrid Machine Learning Approach of Fuzzy-rough-k-nearest Neighbor, Latent Semantic Analysis, and Ranker Search for Efficient Disease Diagnosis",Article
+,123456789/14,M. Grabuloski||R. Salkoski||E. Bronja||A. Salkoska,2025-12-31,"This publication titled 'Efficient Automated Software Testing Strategies and Methods' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of UIST, ISSN 2955-182X, 5(1)",https://journal.uist.edu.mk/volumes/||http://repository.uist.edu.mk/handle/123456789/123,en,Efficient Automated Software Testing Strategies and Methods,Article
+,123456789/6,S. K. Jha||J. Wang||N. Marina,2022-12-31,"This publication titled 'A novel model-driven deterministic approach to wind power imputation' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Sustainable Computing: Informatics and Systems, 36, 100818. Elsevier. WoS",https://doi.org/10.1016/j.suscom.2022.100818||http://repository.uist.edu.mk/handle/123456789/87,en,A novel model-driven deterministic approach to wind power imputation,Article
+,123456789/7,I. B. Bojanic||A. Erceg||J. D. Sekuloska,2024-03-29,"This paper aims to discuss the notion of silver entrepreneurship in the context of the silver economy. Policy-wise knowing who silver entrepreneurs are and what it takes to support them is an essential step to productively managing the ageing population and promoting an age-ready but age-friendly approach to creating a sustainable economy and society in the new demographic reality. The paper provides a theoretical and empirical literature review of silver entrepreneurship to identify the current state of the art. It also identifies selected policies and strategies aiming to foster silver entrepreneurship, representing a more inclusive and age-diverse entrepreneurial landscape. The silver entrepreneurship proves to be a challenging research field due to the elusive nature of entrepreneurship itself and the lack of universal definitions for this phenomenon.","Economics and Business Review, 10(1). Scopus + WoS (Clarivate) + EBSCO. Poznan University of Economics and Business Press, Poland (EU)",https://doi.org/10.18559/ebr.2024.1.1068,en,Silver entrepreneurship: A golden opportunity for ageing society,Article
+,123456789/7,A. Rushiti||A. Luma||Y. Januzaj||A. Aliu||H. Snopce||A. Sefidanoski||M. Trpkoski,2024-12-31,"This publication titled 'The Republic of Macedonia's Research Ranking Platform for Academic Staff and Universities' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","SAR Journal – Science and Research, 7(1), pp. 3-11. EBSCO (Central & Eastern European Academic Source – CEEAS). UIKTEN, Serbia",https://doi.org/10.18421/SAR71-01||http://repository.uist.edu.mk/handle/123456789/249,en,The Republic of Macedonia's Research Ranking Platform for Academic Staff and Universities,Article
+,123456789/14,E. Hadzieva,2023-12-31,,"Numerus, 49-2, pp. 6-9. Union of Mathematicians of Macedonia, Skopje",http://repository.uist.edu.mk/handle/123456789/100,en,Mathematics in Everyday Life,Article
+,123456789/14,S. Baloska||D. Mechkaroska||E. Domazet,2025-12-31,"This publication titled 'AI-driven Chatbot in E-Commerce' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Journal of UIST, ISSN 2955-182X, 5(1), 30-40",https://journal.uist.edu.mk/wp-content/uploads/2025/03/Journal-of-UIST-Vol-5.pdf||http://repository.uist.edu.mk/handle/123456789/121,en,AI-driven Chatbot in E-Commerce,Article
+,123456789/7,D. Mechkaroska||E. Domazet,2024-07-31,"Changing customer experiences and conventional business models, the convergence of
cutting-edge technologies like blockchain, chatbots, and the Internet of Things (IoT) has triggered
revolutions across industries. Customers want personalized, easy, and meaningful interactions in
today’s digital world, so traditional retail and service models are changing to online platforms and
round-the-clock digital support. Blockchain-integrated chatbots give users a reliable platform for
communication and transactions by utilizing the security and transparency of blockchain technology.
These artificial intelligence (AI)-driven chatbots are revolutionizing digital interactions by conversing
with users in natural language, managing transactions, and providing tailored support. IoT devices,
on the other hand, bring in a new era of connectedness by giving commonplace things the ability to
sense, process, and communicate. IoT devices optimize delivery processes and guarantee that the
quality and safety criteria are satisfied in the food delivery industry. Blockchain-integrated chatbots
are a disruptive force that improves delivery process efficiency, transparency, and trust when inte
grated with IoT devices. This study examines how blockchain, chatbots, and IoT technologies might
be integrated into the food delivery sector, emphasizing the advantages and potential ramifications
of doing so","Engineering Proceedings (MDPI), 70(1), 15. Scopus; MDPI, Switzerland (OECD)",https://doi.org/10.3390/engproc2024070015||http://repository.uist.edu.mk/handle/123456789/242,en,Blockchain-Integrated Chatbots and IoT: Transforming Food Delivery,Article
+,123456789/7,N. Shekutkovski||Z. Misajleski||A. Velkoska||B. Durmishi,2021-12-31,"This publication titled 'Weakly chain separated sets in a topological space' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Mathematica Montisnigri, LII-1 (2021), pp. 5-16. WoS",https://www.montis.pmf.ac.me/allissues/52/Mathematica-Montisnigri-52-1.pdf||http://repository.uist.edu.mk/handle/123456789/247,en,Weakly chain separated sets in a topological space,Article
+,123456789/7,C. Hatipoglu||N. Delibegovic Dzanic||E. Gajek||L. Miloshevska,2022-12-31,"This publication titled 'Crowdsourcing and language learning habits and practices in Turkey, Bosnia and Herzegovina, the Republic of North Macedonia and Poland in the pre-pandemic and pandemic periods' contributes to academic and scientific research in its respective field. The work presents methodologies, analyses, experimental findings, or conceptual contributions relevant to contemporary research and professional practice. The publication has been prepared for scholarly dissemination through journals, books, or conference proceedings.","Slovenscina 2.0: empirical, applied and interdisciplinary research, 10(2), 132-183. Sciendo / De Gruyter",https://doi.org/10.4312/slo2.0.2022.2.132-183||http://repository.uist.edu.mk/handle/123456789/244,en,"Crowdsourcing and language learning habits and practices in Turkey, Bosnia and Herzegovina, the Republic of North Macedonia and Poland in the pre-pandemic and pandemic periods",Article
+,123456789/14,Lj. Topuzoska||M. Ismajloska,2023-05-22,"The information and communication technology is the fastest growing sector of the
Macedonian education, and it plays an important role in the education and economy as a
provider of jobs and generator of exports. The Republic of North Macedonia is implementing
a series of measures to encourage employment and entrepreneurship, however, there are still
many obstacles in practice, as well as missed opportunities.
One of the main constraints that have been identified is Entrepreneurial ability described as
education levels, experience, knowledge or the human capital one possesses to spot different
opportunities or to run a business.
Introduction of the subject of entrepreneurship in schools means that today all students, in
both primary and secondary schools, are involved in entrepreneurship education. Previously,
only those that attended special economic schools were included. Entrepreneurship as a
subject is included in six regular courses in the ninth grade – where subjects such as physics,
chemistry, biology, informatics, art and mathematics were revised to include topics in
entrepreneurship.","IJET (International Journal of Education Teacher), Faculty of Education, 'St. Kliment Ohridski' University, pp. 12-20",https://ijeteacher.com/index.php/ijet/article/view/24||http://repository.uist.edu.mk/handle/123456789/112,en,The Entrepreneurial Learning in North Macedonia,Article
